name,slug,college_slug,draft_year,draft_pick,season,school_name,conf_abbr,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Joe Barry Carroll,carrojo01,joe-barry-carroll-1,1980,1,1976-77,Purdue,Big Ten,28,0,20.5,3.3,6.7,.497,,,,,,,1.2,1.9,.630,,,7.4,0.4,0.6,2.9,,2.7,7.9,,7.78
Joe Barry Carroll,carrojo01,joe-barry-carroll-1,1980,1,1977-78,Purdue,Big Ten,27,27,31.7,6.0,11.6,.522,,,,,,,3.5,5.3,.664,,,10.7,0.5,0.5,3.9,,3.4,15.6,,7.29
Joe Barry Carroll,carrojo01,joe-barry-carroll-1,1980,1,1978-79,Purdue,Big Ten,35,35,35.3,9.1,15.6,.583,,,,,,,4.6,7.2,.640,,,10.1,0.8,1.1,2.0,,2.9,22.8,,8.56
Joe Barry Carroll,carrojo01,joe-barry-carroll-1,1980,1,1979-80,Purdue,Big Ten,33,33,35.4,9.1,16.9,.539,,,,,,,4.1,6.2,.660,,,9.2,1.0,0.8,2.8,,2.8,22.3,,11.29
Darrell Griffith,griffda01,darrell-griffith-1,1980,2,1976-77,Louisville,Metro,28,,23.3,5.4,10.7,.502,,,,,,,2.1,3.3,.634,,,3.9,1.8,,,2.7,2.5,12.8,,5.46
Darrell Griffith,griffda01,darrell-griffith-1,1980,2,1977-78,Louisville,Metro,30,,33.2,8.0,15.3,.522,,,,,,,2.6,3.7,.709,,,5.4,3.5,1.6,0.7,3.8,2.6,18.6,,3.84
Darrell Griffith,griffda01,darrell-griffith-1,1980,2,1978-79,Louisville,Metro,32,,31.3,7.6,15.2,.497,,,,,,,3.3,4.7,.709,,,4.4,2.8,1.9,0.9,4.0,2.7,18.5,,3.49
Darrell Griffith,griffda01,darrell-griffith-1,1980,2,1979-80,Louisville,Metro,36,,34.6,9.7,17.5,.553,,,,,,,3.5,4.9,.713,,,4.8,3.8,,,,2.8,22.9,,5.32
Kevin McHale,mchalke01,kevin-mchale-1,1980,3,1976-77,Minnesota,Big Ten,27,,,4.9,8.9,.552,,,,,,,2.1,2.9,.753,,,8.1,1.4,,,,2.6,12.0,,5.89
Kevin McHale,mchalke01,kevin-mchale-1,1980,3,1977-78,Minnesota,Big Ten,26,,,5.5,9.3,.591,,,,,,,2.1,3.0,.701,,,7.4,1.6,0.4,,,3.5,13.1,,7.09
Kevin McHale,mchalke01,kevin-mchale-1,1980,3,1978-79,Minnesota,Big Ten,27,,,7.5,14.5,.517,,,,,,,2.9,3.6,.823,,,9.6,1.2,,,,3.2,17.9,,8.95
Kevin McHale,mchalke01,kevin-mchale-1,1980,3,1979-80,Minnesota,Big Ten,32,,36.0,7.4,13.0,.567,,,,,,,2.7,3.3,.794,,,8.8,1.8,0.4,,,,17.4,,10.92
Kelvin Ransey,ranseke01,kelvin-ransey-1,1980,4,1976-77,Ohio State,Big Ten,25,24,31.6,6.0,14.6,.408,,,,,,,1.2,1.5,.784,,,3.4,2.8,0.8,0.4,2.0,2.4,13.1,,6.10
Kelvin Ransey,ranseke01,kelvin-ransey-1,1980,4,1977-78,Ohio State,Big Ten,27,27,35.1,7.7,15.6,.493,,,,,,,2.2,3.0,.741,,,3.7,5.1,2.0,0.2,2.9,3.1,17.6,,5.18
Kelvin Ransey,ranseke01,kelvin-ransey-1,1980,4,1978-79,Ohio State,Big Ten,31,31,37.5,9.1,16.6,.547,,,,,,,3.2,4.3,.758,,,3.6,4.3,1.7,0.1,3.0,3.2,21.4,,9.62
Kelvin Ransey,ranseke01,kelvin-ransey-1,1980,4,1979-80,Ohio State,Big Ten,29,27,36.9,6.5,13.3,.488,,,,,,,3.1,3.8,.835,,,4.2,5.9,1.4,0.2,2.9,2.5,16.2,,10.81
James Ray,rayja01,james-ray-1,1980,5,1976-77,Jacksonville,Sun Belt,28,,,4.7,9.5,.494,,,,,,,1.9,3.3,.593,,,5.9,0.7,,,2.8,3.9,11.3,,0.87
James Ray,rayja01,james-ray-1,1980,5,1977-78,Jacksonville,Sun Belt,23,,29.4,5.5,9.6,.573,,,,,,,1.8,2.7,.667,,,7.9,1.5,,,3.2,4.3,12.8,,-0.67
James Ray,rayja01,james-ray-1,1980,5,1978-79,Jacksonville,Sun Belt,30,,29.1,6.6,11.4,.579,,,,,,,2.9,3.9,.737,,,7.8,,,,,,16.1,,-0.79
James Ray,rayja01,james-ray-1,1980,5,1979-80,Jacksonville,Sun Belt,29,29,30.4,6.9,12.9,.536,,,,,,,3.4,4.9,.690,,,7.4,1.4,,,,3.3,17.2,,-2.36
