name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Joe Barry Carroll,carrojo01,1980,1,1980-81,GSW,NBA,C
Darrell Griffith,griffda01,1980,2,1980-81,UTA,NBA,SG
Kevin McHale,mchalke01,1980,3,1980-81,BOS,NBA,PF
Kelvin Ransey,ranseke01,1980,4,1980-81,POR,NBA,PG
James Ray,rayja01,1980,5,1980-81,DEN,NBA,PF
Mike O'Koren,okoremi01,1980,6,1980-81,NJN,NBA,SF
Mike Gminski,gminsmi01,1980,7,1980-81,NJN,NBA,C
Andrew Toney,toneyan01,1980,8,1980-81,PHI,NBA,SG
Michael Brooks,brookmi01,1980,9,1980-81,SDC,NBA,SF
Ronnie Lester,lestero01,1980,10,1980-81,CHI,NBA,PG
Kiki Vandeweghe,vandeki01,1980,11,1980-81,DEN,NBA,SF
Mike Woodson,woodsmi01,1980,12,1980-81,NYK,NBA,SG
Rickey Brown,brownri01,1980,13,1980-81,GSW,NBA,C
Wes Matthews,matthwe01,1980,14,1980-81,TOT,NBA,PG
Reggie Johnson,johnsre01,1980,15,1980-81,SAS,NBA,PF
Hawkeye Whitney,whitnha02,1980,16,1980-81,KCK,NBA,SG
Larry Drew,drewla01,1980,17,1980-81,DET,NBA,PG
Don Collins,collido02,1980,18,1980-81,TOT,NBA,SF
John Duren,durenjo01,1980,19,1980-81,UTA,NBA,PG
Bill Hanzlik,hanzlbi01,1980,20,1980-81,SEA,NBA,SF
Monti Davis,davismo01,1980,21,1980-81,TOT,NBA,PF
Chad Kinch,kinchch01,1980,22,1980-81,TOT,NBA,SG
Carl Nicks,nicksca01,1980,23,1980-81,TOT,NBA,PG
Larry Smith,smithla01,1980,24,1980-81,GSW,NBA,PF
Jeff Ruland,rulanje01,1980,25,1981-82,WSB,NBA,C
Sam Worthen,worthsa01,1980,26,1980-81,CHI,NBA,PG
John Stroud,stroujo01,1980,27,1980-81,HOU,NBA,SF
Craig Shelton,sheltcr01,1980,28,1980-81,ATL,NBA,SF
Louis Orr,orrlo01,1980,29,1980-81,IND,NBA,SF
Kenny Natt,nattke01,1980,30,1980-81,IND,NBA,SG
Wayne Robinson,robinwa01,1980,31,1980-81,DET,NBA,PF
Rick Mahorn,mahorri01,1980,35,1980-81,WSB,NBA,PF
DeWayne Scales,scalede01,1980,36,1980-81,NYK,NBA,PF
Butch Carter,cartebu01,1980,37,1980-81,LAL,NBA,SF
Michael Wiley,wileymi01,1980,39,1980-81,SAS,NBA,PF
Dick Miller,milledi01,1980,40,1980-81,TOT,NBA,SF
Jawann Oldham,oldhaja01,1980,41,1980-81,DEN,NBA,C
Brad Branson,bransbr01,1980,45,1981-82,CLE,NBA,PF
Kurt Nimphius,nimphku01,1980,47,1981-82,DAL,NBA,C
James Wilkes,wilkeja02,1980,50,1980-81,CHI,NBA,SF
Ronnie Valentine,valenro01,1980,51,1980-81,DEN,NBA,SF
Lowes Moore,moorelo01,1980,52,1980-81,NJN,NBA,PG
Mike Harper,harpemi01,1980,56,1980-81,POR,NBA,PF
Dave Britton,brittda01,1980,57,1980-81,WSB,NBA,PG
Kurt Rambis,rambiku01,1980,58,1981-82,LAL,NBA,PF
Rich Yonakor,yonakri01,1980,61,1981-82,SAS,NBA,PF
