name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Joe Barry Carroll,carrojo01,1980,1,1980-81,GSW,NBA,C
Joe Barry Carroll,carrojo01,1980,1,1981-82,GSW,NBA,C
Joe Barry Carroll,carrojo01,1980,1,1982-83,GSW,NBA,C
Joe Barry Carroll,carrojo01,1980,1,1983-84,GSW,NBA,C
Joe Barry Carroll,carrojo01,1980,1,1985-86,GSW,NBA,C
Joe Barry Carroll,carrojo01,1980,1,1986-87,GSW,NBA,C
Joe Barry Carroll,carrojo01,1980,1,1987-88,TOT,NBA,C
Joe Barry Carroll,carrojo01,1980,1,1988-89,NJN,NBA,C
Joe Barry Carroll,carrojo01,1980,1,1989-90,TOT,NBA,C
Joe Barry Carroll,carrojo01,1980,1,1990-91,PHO,NBA,C
Darrell Griffith,griffda01,1980,2,1980-81,UTA,NBA,SG
Darrell Griffith,griffda01,1980,2,1981-82,UTA,NBA,SG
Darrell Griffith,griffda01,1980,2,1982-83,UTA,NBA,SG
Darrell Griffith,griffda01,1980,2,1983-84,UTA,NBA,SG
Darrell Griffith,griffda01,1980,2,1984-85,UTA,NBA,SG
Darrell Griffith,griffda01,1980,2,1986-87,UTA,NBA,SG
Darrell Griffith,griffda01,1980,2,1987-88,UTA,NBA,SG
Darrell Griffith,griffda01,1980,2,1988-89,UTA,NBA,SG
Darrell Griffith,griffda01,1980,2,1989-90,UTA,NBA,SG
Darrell Griffith,griffda01,1980,2,1990-91,UTA,NBA,SG
Kevin McHale,mchalke01,1980,3,1980-81,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1981-82,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1982-83,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1983-84,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1984-85,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1985-86,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1986-87,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1987-88,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1988-89,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1989-90,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1990-91,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1991-92,BOS,NBA,PF
Kevin McHale,mchalke01,1980,3,1992-93,BOS,NBA,PF
Kelvin Ransey,ranseke01,1980,4,1980-81,POR,NBA,PG
Kelvin Ransey,ranseke01,1980,4,1981-82,POR,NBA,PG
Kelvin Ransey,ranseke01,1980,4,1982-83,DAL,NBA,PG
Kelvin Ransey,ranseke01,1980,4,1983-84,NJN,NBA,PG
Kelvin Ransey,ranseke01,1980,4,1984-85,NJN,NBA,PG
